time,total_gpu_time,cluster_utilization,running_tasks,pending_tasks,completed_tasks
0.00,0.00,0.00,0,0,0
60.00,0.00,0.00,0,0,0
120.00,114.00,0.04,1,0,0
180.00,294.00,0.06,2,0,0
240.00,474.00,0.06,2,0,0
300.00,654.00,0.06,2,0,0
360.00,834.00,0.06,2,0,0
420.00,1018.00,0.09,4,0,0
480.00,1318.00,0.09,4,0,0
540.00,1618.00,0.11,5,0,0
600.00,1918.00,0.11,5,0,0
660.00,2273.00,0.14,7,0,0
720.00,2633.00,0.12,6,0,1
780.00,3071.00,0.17,8,0,1
840.00,3551.00,0.17,8,0,1
900.00,4031.00,0.17,8,0,1
960.00,4511.00,0.15,7,0,2
1020.00,5101.00,0.20,7,0,3
1080.00,5701.00,0.20,7,0,3
1140.00,6293.00,0.21,7,0,4
1200.00,6833.00,0.21,7,0,4
1260.00,7373.00,0.21,7,0,4
1320.00,7971.00,0.24,9,0,4
1380.00,8571.00,0.23,8,0,5
1440.00,9171.00,0.21,8,0,6
1500.00,9771.00,0.25,9,0,6
1560.00,10413.00,0.29,11,0,6
1620.00,11133.00,0.33,13,0,6
1680.00,11883.00,0.35,14,0,6
1740.00,12723.00,0.31,12,0,8
1800.00,13563.00,0.30,11,0,9
1860.00,14403.00,0.30,11,0,9
1920.00,15243.00,0.30,11,0,9
1980.00,16083.00,0.30,11,0,9
2040.00,16923.00,0.30,11,0,9
2100.00,17763.00,0.30,11,0,9
2160.00,18603.00,0.30,11,0,9
2220.00,19414.00,0.26,10,0,10
2280.00,20082.00,0.24,9,0,11
2340.00,20735.00,0.21,8,0,12
2400.00,21335.00,0.20,7,0,13
2460.00,21935.00,0.20,7,0,13
2520.00,22535.00,0.20,7,0,13
2580.00,23113.00,0.14,5,0,15
2640.00,23593.00,0.13,4,0,16
2700.00,24073.00,0.13,4,0,16
2760.00,24553.00,0.13,4,0,16
2820.00,25033.00,0.13,4,0,16
2880.00,25513.00,0.13,4,0,16
2940.00,25971.00,0.10,3,0,17
3000.00,26259.00,0.04,2,0,18
3060.00,26439.00,0.04,2,0,18
3120.00,26619.00,0.04,2,0,18
3180.00,26799.00,0.04,2,0,18
3240.00,26979.00,0.04,2,0,18
3300.00,27139.00,0.03,1,0,19
